Population and dwelling counts: Canada and population centres 1,,,,,,,,,
Frequency: Occasional,,,,,,,,,
Table: 98-10-0011-01,,,,,,,,,
Release date: 2022-02-09,,,,,,,,,
"Geography: Canada, Province or territory, Population centre, Population centre part",,,,,,,,,
"Universe: All persons, 2021 and 2016 censuses – 100% data",,,,,,,,,
Variable List: Population and dwelling counts (7),,,,,,,,,
,,,,,,,,,
,,Population and dwelling counts (7),"Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Total private dwellings, 2021","Private dwellings occupied by usual residents, 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021"
Grand Centre,Small population centre,Alta.,"7,514","7,256",3.6,"3,390","2,968",18.07,415.8
Grande Cache,Small population centre,Alta.,"3,037","3,286",-7.6,"1,370","1,120",3.72,815.4
Grande Prairie,Medium population centre,Alta.,"63,172","62,382r",1.3,"27,098","24,514",49.74,"1,270.20"
Grimshaw,Small population centre,Alta.,"2,519","2,599",-3.1,"1,185","1,040",4.13,609.7
Hanna,Small population centre,Alta.,"2,234","2,332",-4.2,"1,187","1,031",2.29,975.4
Heritage Pointe,Small population centre,Alta.,"1,974","2,075",-4.9,726,707,4.78,412.7
High Level,Small population centre,Alta.,"3,461","2,746r",26,"1,271","1,151",2.68,"1,289.30"
High Prairie,Small population centre,Alta.,"2,065","2,264",-8.8,969,810,2.37,872.7
High River,Small population centre,Alta.,"14,119","13,420",5.2,"5,854","5,698",10.13,"1,394.00"
Hinton,Small population centre,Alta.,"9,191","9,205",-0.2,"4,140","3,759",12.97,708.4
Innisfail,Small population centre,Alta.,"7,016","6,937r",1.1,"3,271","2,966",5.23,"1,342.10"
Irricana,Small population centre,Alta.,"1,135","1,160",-2.2,456,444,1.14,996.7
Jasper,Small population centre,Alta.,"4,029","3,948",2.1,"1,776","1,586",1.84,"2,189.00"
La Crète,Small population centre,Alta.,"2,911","2,739r",6.3,"1,125","1,063",3.02,963.3
Lac la Biche,Small population centre,Alta.,"2,138","2,294",-6.8,991,819,2.94,726.2
Lacombe,Small population centre,Alta.,"12,835","12,740r",0.7,"5,203","4,927",11.87,"1,081.00"
Lamont,Small population centre,Alta.,"1,328","1,347",-1.4,564,519,1.93,687.4
Lancaster Park,Small population centre,Alta.,"1,253","1,501",-16.5,469,439,0.92,"1,366.90"
Langdon,Small population centre,Alta.,"5,193","5,060",2.6,"1,693","1,667",4.32,"1,203.40"
Leduc,Medium population centre,Alta.,"33,505","29,561r",13.3,"13,207","12,684",67.43,496.9
Legal,Small population centre,Alta.,"1,164","1,251r",-7,459,425,1.79,649.6
Lethbridge,Medium population centre,Alta.,"92,563","89,309r",3.6,"40,434","37,989",64,"1,446.20"
Lloydminster,Medium population centre,Alta. / Sask.,"31,582","31,400",0.6,"13,530","12,077",24.43,"1,292.60"
Lloydminster (Alberta part),Medium population centre,Alta.,"19,739","19,645",0.5,"8,529","7,635",16.85,"1,171.10"
Lloydminster (Saskatchewan part),Medium population centre,Sask.,"11,843","11,755",0.7,"5,001","4,442",7.58,"1,562.60"
Magrath,Small population centre,Alta.,"2,308","2,235r",3.3,770,744,2.7,853.6
Manning,Small population centre,Alta.,"1,027","1,072",-4.2,503,441,1.37,748.1
Mayerthorpe,Small population centre,Alta.,"1,171","1,205",-2.8,524,467,1.29,908.6
Medicine Hat,Medium population centre,Alta.,"63,382","63,111r",0.4,"28,666","27,162",53.2,"1,191.50"
Millet,Small population centre,Alta.,"1,847","1,905",-3,814,776,2.18,846.7
Morinville,Small population centre,Alta.,"10,385","9,848",5.5,"3,981","3,768",11.15,931
Nanton,Small population centre,Alta.,"1,984","1,970r",0.7,915,871,1.56,"1,272.80"
Nobleford,Small population centre,Alta.,"1,438","1,278",12.5,462,446,0.98,"1,473.80"
Okotoks,Medium population centre,Alta.,"30,214","28,833",4.8,"10,666","10,398",17.23,"1,753.30"
Olds,Small population centre,Alta.,"8,983","8,944",0.4,"3,997","3,722",9.51,944.6
Peace River,Small population centre,Alta.,"4,264","4,348r",-1.9,"2,046","1,723",5.06,843.4
Penhold,Small population centre,Alta.,"3,359","3,210r",4.6,"1,353","1,284",1.65,"2,037.20"
Picture Butte,Small population centre,Alta.,"1,808","1,700",6.4,686,646,1.95,926.1
Pincher Creek,Small population centre,Alta.,"3,463","3,523",-1.7,"1,607","1,473",4.06,853.7
Ponoka,Small population centre,Alta.,"7,032","6,899",1.9,"3,193","2,959",5.61,"1,253.60"
Provost,Small population centre,Alta.,"1,834","1,945",-5.7,824,732,2.09,876.5
Raymond,Small population centre,Alta.,"3,942","3,553r",10.9,"1,305","1,256",3.92,"1,005.90"
Red Deer,Medium population centre,Alta.,"99,846","99,773r",0.1,"42,979","40,133",65.93,"1,514.40"
Redcliff,Small population centre,Alta.,"5,385","5,474",-1.6,"2,206","2,117",7.39,728.3
Redwater,Small population centre,Alta.,"1,802","1,591",13.3,845,773,2.01,897.4
Rimbey,Small population centre,Alta.,"2,258","2,349r",-3.9,"1,065",973,3.63,621.8
Rocky Mountain House,Small population centre,Alta.,"6,518","6,429",1.4,"2,972","2,592",7.47,872.8
Sexsmith,Small population centre,Alta.,"2,275","2,461",-7.6,862,790,1.83,"1,244.10"
Slave Lake,Small population centre,Alta.,"6,542","6,155",6.3,"2,575","2,312",6.63,987.4
Springbrook,Small population centre,Alta.,"1,534","1,502",2.1,604,579,2.19,701.8
Spruce Grove,Medium population centre,Alta.,"39,348","36,279r",8.5,"15,518","15,009",29.76,"1,322.40"
St. Paul,Small population centre,Alta.,"5,685","5,728",-0.8,"2,390","2,214",5.03,"1,130.50"
Stettler,Small population centre,Alta.,"5,595","5,872r",-4.7,"2,513","2,328",7.46,749.9
Stirling,Small population centre,Alta.,"1,134",938r,20.9,368,349,2.03,558.1
Stony Plain,Small population centre,Alta.,"17,253","16,416r",5.1,"7,136","6,802",17.73,973.3
Strathmore,Small population centre,Alta.,"13,851","13,592",1.9,"5,585","5,355",9.46,"1,463.50"
Sundre,Small population centre,Alta.,"1,781","1,866",-4.6,803,752,2.37,750.9
Swan Hills,Small population centre,Alta.,"1,191","1,275",-6.6,700,505,2.39,497.8
Sylvan Lake,Small population centre,Alta.,"16,142","14,977r",7.8,"7,267","6,452",10.49,"1,539.30"
Taber,Small population centre,Alta.,"8,978","8,558r",4.9,"3,521","3,387",15.69,572.1
Three Hills,Small population centre,Alta.,"2,902","3,078",-5.7,"1,183","1,110",3.14,924.4
Tofield,Small population centre,Alta.,"1,811","1,854",-2.3,804,748,1.22,"1,483.10"
Turner Valley,Small population centre,Alta.,"2,409","2,373r",1.5,"1,025",965,3.3,730
Two Hills,Small population centre,Alta.,"1,379","1,291r",6.8,510,432,1.25,"1,099.90"
Valleyview,Small population centre,Alta.,"1,280","1,421",-9.9,599,500,1.55,824.6
Vauxhall,Small population centre,Alta.,"1,286","1,222",5.2,457,436,2.71,474.7
Vegreville,Small population centre,Alta.,"5,383","5,436",-1,"2,614","2,351",5.05,"1,065.60"
Vermilion,Small population centre,Alta.,"3,552","3,697r",-3.9,"1,731","1,488",3.66,971.4
Vulcan,Small population centre,Alta.,"1,558","1,680",-7.3,755,699,1.7,913.9
Wainwright,Small population centre,Alta.,"6,461","6,153",5,"2,848","2,602",5.08,"1,270.60"
Wembley,Small population centre,Alta.,"1,432","1,516",-5.5,616,550,2.2,651.5
Westlake,Small population centre,Alta.,"2,040","1,363",49.7,654,635,3.27,624.7
Westlock,Small population centre,Alta.,"4,820","4,957r",-2.8,"2,333","2,104",5.26,915.9
Wetaskiwin,Small population centre,Alta.,"12,438","12,491r",-0.4,"5,584","5,136",12.11,"1,026.90"
Whitecourt,Small population centre,Alta.,"9,195","9,515",-3.4,"4,013","3,578",10.22,899.3
British Columbia 2,Province,B.C.,"5,000,879","4,648,055",7.6,"2,211,694","2,041,834","920,686.55",5.4
Abbotsford,Large urban population centre,B.C.,"132,300","122,163r",8.3,"49,176","47,091",71.2,"1,858.30"
Aldergrove,Small population centre,B.C.,"13,105","12,126r",8.1,"4,747","4,554",7.03,"1,864.40"
Aldergrove East,Small population centre,B.C.,"4,496","3,491",28.8,"1,314","1,233",2.55,"1,765.50"
Armstrong,Small population centre,B.C.,"5,323","5,114",4.1,"2,292","2,217",5.22,"1,020.00"
Ashcroft,Small population centre,B.C.,"1,182","1,084",9,643,576,2.05,577.8
Barriere,Small population centre,B.C.,"1,273","1,169r",8.9,557,502,3.09,412.1
Blind Bay,Small population centre,B.C.,"2,369","2,113r",12.1,"1,117","1,036",4.14,572.1
Burns Lake,Small population centre,B.C.,"2,117","1,942r",9,864,791,3.12,679.1
Campbell River,Medium population centre,B.C.,"38,108","35,440r",7.5,"17,246","16,562",33,"1,154.70"
Castlegar,Small population centre,B.C.,"10,029","9,592r",4.6,"4,442","4,245",19.01,527.7
Chase,Small population centre,B.C.,"2,377","2,263",5,"1,238","1,166",2.33,"1,018.80"
Chemainus,Small population centre,B.C.,"4,033","3,612r",11.7,"2,099","2,016",5.82,693
Chilliwack,Medium population centre,B.C.,"81,622","73,171r",11.5,"34,302","33,030",56.02,"1,456.90"
Cobble Hill,Small population centre,B.C.,"3,610","3,580",0.8,"1,692","1,651",6.67,541
Courtenay,Medium population centre,B.C.,"48,917","45,314r",8,"22,691","21,901",56.58,864.6
Cowichan Bay,Small population centre,B.C.,"2,799","2,557r",9.5,"1,227","1,162",4.47,626.5
Cranbrook,Small population centre,B.C.,"20,008","19,641r",1.9,"8,831","8,558",16.32,"1,225.80"
Creston,Small population centre,B.C.,"5,459","5,236r",4.3,"2,741","2,604",6.04,903.9
Crofton,Small population centre,B.C.,"1,446","1,373",5.3,633,606,2.76,524
Cultus Lake,Small population centre,B.C.,"1,164","1,053",10.5,739,564,1.8,647.5
Cumberland,Small population centre,B.C.,"4,190","3,600",16.4,"1,809","1,732",3.91,"1,071.00"
Dawson Creek,Small population centre,B.C.,"11,706","11,621r",0.7,"5,817","5,094",12.34,948.4
Duck Lake,Small population centre,B.C.,"12,725","10,085r",26.2,"5,792","5,320",24.93,510.5
Duncan,Small population centre,B.C.,"24,358","23,559r",3.4,"11,013","10,552",22.75,"1,070.80"
Elkford,Small population centre,B.C.,"1,908","1,788r",6.7,"1,142",823,3.07,622.2
Enderby,Small population centre,B.C.,"3,028","2,964",2.2,"1,508","1,436",4.26,710.4
Fairwinds,Small population centre,B.C.,"1,207","1,147",5.2,682,607,2.13,567
Fernie,Small population centre,B.C.,"5,519","4,860r",13.6,"2,789","2,282",4.49,"1,228.40"
Fort Nelson,Small population centre,B.C.,"2,611","3,371r",-22.5,"1,622","1,173",5.02,519.9
Fort St. James,Small population centre,B.C.,"1,497","1,721r",-13,697,619,3.22,465.6
Fort St. John,Small population centre,B.C.,"21,123","20,026r",5.5,"9,868","8,653",14.89,"1,419.00"
Gibsons,Small population centre,B.C.,"9,603","9,199r",4.4,"4,845","4,401",14.11,680.4
Golden,Small population centre,B.C.,"3,640","3,403r",7,"1,709","1,566",6.12,594.8
Grand Forks,Small population centre,B.C.,"4,166","4,100r",1.6,"1,985","1,893",8.21,507.7
Harrison Hot Springs,Small population centre,B.C.,"1,552","1,242",25,873,733,1.17,"1,329.00"
Hope,Small population centre,B.C.,"4,434","4,197r",5.6,"2,167","2,000",5.48,809.3
Houston,Small population centre,B.C.,"2,085","2,126",-1.9,"1,016",885,2.94,708.1
Invermere,Small population centre,B.C.,"3,340","2,911r",14.7,"1,880","1,418",3.44,971.4
Kamloops,Medium population centre,B.C.,"92,442","85,702r",7.9,"39,771","38,082",74.35,"1,243.30"
Kelowna,Large urban population centre,B.C.,"181,380","160,095r",13.3,"83,287","77,446",168.92,"1,073.70"
Kent,Small population centre,B.C.,"3,936","3,911r",0.6,"1,769","1,670",4.02,978
Keremeos,Small population centre,B.C.,"1,791","1,714",4.5,938,888,2.84,629.5
Kimberley,Small population centre,B.C.,"4,908","4,679r",4.9,"2,300","2,158",4.51,"1,087.60"
Kitimat,Small population centre,B.C.,"6,727","6,822r",-1.4,"3,763","3,028",4.88,"1,377.50"
Ladner,Small population centre,B.C.,"23,016","22,193",3.7,"9,286","9,028",7.38,"3,120.30"
Ladysmith,Small population centre,B.C.,"11,194","10,637",5.2,"5,125","4,920",13.85,808.2
Lake Cowichan,Small population centre,B.C.,"3,181","3,089r",3,"1,506","1,425",4.14,768.5
Lillooet,Small population centre,B.C.,"1,652","1,570r",5.2,886,809,2.37,696.7
Lions Bay,Small population centre,B.C.,"1,390","1,334",4.2,557,506,2.53,549
Logan Lake,Small population centre,B.C.,"1,356","1,208",12.3,726,665,0.94,"1,441.50"
Lumby,Small population centre,B.C.,"1,484","1,303",13.9,627,607,1.14,"1,298.80"
Mackenzie,Small population centre,B.C.,"2,856","3,262",-12.4,"1,634","1,323",3.43,833.3
Merritt,Small population centre,B.C.,"5,248","5,321",-1.4,"2,435","2,293",4.43,"1,185.00"
Mile 108 Recreational Ranch,Small population centre,B.C.,"1,043","1,018r",2.5,491,459,2.59,402.9
Miller's Landing,Small population centre,B.C.,"1,437","1,230r",16.8,669,576,1.91,750.6
Mission,Medium population centre,B.C.,"36,193","33,713r",7.4,"12,702","12,185",27.23,"1,328.90"
Nakusp,Small population centre,B.C.,"1,112","1,135r",-2,606,554,1.31,846
Nanaimo,Large urban population centre,B.C.,"106,079","96,415r",10,"47,554","45,512",86.76,"1,222.70"
Naramata,Small population centre,B.C.,"1,012","1,013r",-0.1,505,444,2.39,423
Nelson,Small population centre,B.C.,"11,198","10,669r",5,"5,358","4,992",7.45,"1,503.70"
Okanagan Falls,Small population centre,B.C.,"2,202","2,167",1.6,"1,248","1,078",3.33,660.5
Oliver,Small population centre,B.C.,"5,708","5,437r",5,"2,746","2,598",5.67,"1,007.10"
One Hundred Mile House,Small population centre,B.C.,"1,706","1,811",-5.8,864,809,2.4,710.2
Osoyoos,Small population centre,B.C.,"4,859","4,537r",7.1,"2,919","2,279",4.24,"1,147.20"
Parksville,Small population centre,B.C.,"27,330","25,364r",7.8,"13,872","13,155",27.45,995.7
Peachland,Small population centre,B.C.,"5,006","4,698",6.6,"2,572","2,353",9.83,509.5
Pemberton,Small population centre,B.C.,"2,970","2,269r",30.9,"1,242","1,184",2.82,"1,051.80"
Penticton,Medium population centre,B.C.,"36,893","33,899r",8.8,"18,426","17,361",25.84,"1,427.70"
Port Alberni,Small population centre,B.C.,"21,711","20,910r",3.8,"10,438","9,898",28.49,762
Port Hardy,Small population centre,B.C.,"3,393","3,643",-6.9,"1,662","1,494",5.15,659.3
Port McNeill,Small population centre,B.C.,"2,234","2,219r",0.7,"1,057",973,2.49,898.6
Powell River,Small population centre,B.C.,"13,116","12,389r",5.9,"6,342","6,038",17.37,755.2
Prince George,Medium population centre,B.C.,"67,339","66,315r",1.5,"29,851","28,163",73.9,911.2
Prince Rupert,Small population centre,B.C.,"11,814","11,733",0.7,"5,507","4,857",7.97,"1,482.30"
Princeton,Small population centre,B.C.,"2,826","2,745",3,"1,489","1,346",4.48,631.2
Puntledge,Small population centre,B.C.,"1,185","1,191r",-0.5,497,479,2.95,402.2
Quesnel,Small population centre,B.C.,"12,110","12,196r",-0.7,"5,808","5,502",25.23,480
Rayleigh,Small population centre,B.C.,"1,933","1,951",-0.9,723,713,2.06,939.7
Revelstoke,Small population centre,B.C.,"7,709","7,067r",9.1,"3,414","3,147",12.3,627
Roberts Creek,Small population centre,B.C.,"1,927","1,898r",1.5,"1,007",850,4.18,460.5
Rosedale,Small population centre,B.C.,"2,232","1,894r",17.8,761,749,4.39,508.8
Rossland,Small population centre,B.C.,"3,645","3,416r",6.7,"1,715","1,588",4.01,910
Salmo,Small population centre,B.C.,"1,140","1,141",-0.1,599,568,2.44,466.4
Salmon Arm,Small population centre,B.C.,"16,065","14,948r",7.5,"7,020","6,707",20.99,765.4
Sechelt,Small population centre,B.C.,"9,434","8,993r",4.9,"4,884","4,442",11.96,788.8
Shawnigan - Mill Bay,Small population centre,B.C.,"7,285","7,129r",2.2,"3,065","2,855",14.87,490
Sicamous,Small population centre,B.C.,"2,041","1,786",14.3,"1,539",965,2.63,775.6
Smithers,Small population centre,B.C.,"5,316","5,351",-0.7,"2,375","2,282",10.46,508
Sooke,Small population centre,B.C.,"11,583","9,936r",16.6,"4,940","4,702",15.3,757.1
Sparwood,Small population centre,B.C.,"3,990","3,646r",9.4,"2,101","1,747",8.61,463.5
Squamish,Small population centre,B.C.,"22,221","18,902r",17.6,"9,288","8,623",22.11,"1,005.20"
Summerland,Small population centre,B.C.,"9,860","9,466r",4.2,"4,471","4,224",15.83,623
Telkwa,Small population centre,B.C.,"1,288","1,160",11,500,482,2.86,450
Terrace,Small population centre,B.C.,"14,633","14,327r",2.1,"6,410","6,019",22.19,659.5
Tofino,Small population centre,B.C.,"2,217","1,736r",27.7,"1,075",874,5.47,405
Trail - Fruitvale,Small population centre,B.C.,"12,863","12,736r",1,"6,177","5,884",21.65,594.1
Tsawwassen,Small population centre,B.C.,"23,940","21,845r",9.6,"10,465","9,968",14.95,"1,601.10"
Tumbler Ridge,Small population centre,B.C.,"2,389","1,987r",20.2,"1,547","1,090",2.95,810.3
Ucluelet,Small population centre,B.C.,"1,940","1,613r",20.3,937,803,2.9,670.1
Vancouver,Large urban population centre,B.C.,"2,426,160","2,268,864r",6.9,"1,015,170","958,604",911.64,"2,661.30"
Vanderhoof,Small population centre,B.C.,"1,967","1,979",-0.6,896,849,2.85,691.3
Vernon,Medium population centre,B.C.,"51,896","48,425r",7.2,"23,605","22,314",51.16,"1,014.30"
Victoria,Large urban population centre,B.C.,"363,222","337,235r",7.7,"172,251","163,111",222.71,"1,630.90"
Welcome Beach,Small population centre,B.C.,"1,116","1,125",-0.8,524,484,1.41,793
Whistler,Small population centre,B.C.,"9,974","8,739r",14.1,"7,800","4,001",11.74,849.5
White Rock,Large urban population centre,B.C.,"109,167","93,811r",16.4,"46,671","44,359",54.23,"2,013.10"
Williams Lake,Small population centre,B.C.,"11,906","11,702r",1.7,"5,466","5,109",27.69,430
Yarrow,Small population centre,B.C.,"1,378","1,257r",9.6,436,427,3.37,408.5
Yukon,Territory,Y.T.,"40,232","35,874",12.1,"19,610","17,181","472,345.44",0.1
Dawson,Small population centre,Y.T.,"1,092",957r,14.1,597,544,1.05,"1,036.20"
Whitehorse,Small population centre,Y.T.,"24,513","21,770r",12.6,"10,424","9,971",35.97,681.5
Northwest Territories,Territory,N.W.T.,"41,070","41,786",-1.7,"17,603","15,207","1,127,711.92",0
Fort Smith,Small population centre,N.W.T.,"1,749","2,031",-13.9,778,687,2.04,855.8
Hay River,Small population centre,N.W.T.,"2,380","2,728",-12.8,"1,172",950,3.16,752.8
Inuvik,Small population centre,N.W.T.,"3,001","3,140",-4.4,"1,381","1,161",1.6,"1,871.40"
Yellowknife,Small population centre,N.W.T.,"19,673","19,141r",2.8,"7,773","7,327",18.11,"1,086.30"
Nunavut,Territory,Nvt.,"36,858","35,944",2.5,"11,720","9,926","1,836,993.78",0
Arviat,Small population centre,Nvt.,"2,766","2,581r",7.2,668,608,2.42,"1,143.60"
Baker Lake,Small population centre,Nvt.,"1,653","1,690",-2.2,547,472,1.56,"1,060.00"
Cambridge Bay,Small population centre,Nvt.,"1,403","1,619",-13.3,521,434,0.85,"1,652.90"
Gjoa Haven,Small population centre,Nvt.,"1,110","1,197",-7.3,267,239,0.7,"1,586.20"
Iqaluit,Small population centre,Nvt.,"6,991","7,323r",-4.5,"3,093","2,542",10.48,667
Rankin Inlet,Small population centre,Nvt.,"2,698","2,608r",3.5,929,750,2.86,942.6
,,,,,,,,,
Symbol legend:,,,,,,,,,
r, revised,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Abbreviation notes:,,,,,,,,,
,,,,,,,,,
List of abbreviations and acronyms found within various Census products.,,,,,,,,,
(https://www12.statcan.gc.ca/census-recensement/2021/ref/symb-ab-acr-eng.cfm),,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Footnotes:,,,,,,,,,
1,"<p><strong>Content considerations</strong></p><p>The 2021 Census population counts for a particular geographic area represent the number of Canadians whose usual place of residence is in that area, regardless of where they happened to be on Census Day. Also included are any Canadians who were staying in that area on Census Day and who had no usual place of residence elsewhere in Canada, as well as those considered to be 'non-permanent residents.' For most areas, there is little difference between the number of usual residents and the number of people staying in the area on Census Day. For certain places, however, such as tourist or vacation areas, or those including large work camps, the number of people staying in that area at any particular time could significantly exceed the number of usual residents shown here. The population counts include Canadians living in other countries, but do not include foreign residents living in Canada. Given these differences, users are advised not to interpret population counts as being the number of people living in the reported dwellings.</p><p>The dwelling counts refer to total private dwellings and private dwellings occupied by usual residents in Canada. The census dwelling counts do not include collective dwellings, which are dwellings of a commercial, institutional or communal nature. The usual residents in collective dwellings are, however, included in the population counts.</p><p>Changes occur to the names, boundaries and other characteristics of geographic areas (e.g., census subdivisions may amalgamate, or there may be an annexation or a change of name or status). Since the geographic framework is used for census data collection, the geographic reference date must be set several months before the date of the census in order to have these changes made in time. For the 2021 Census, the geographic reference date was January 1, 2021.</p><p>Land area is the area in square kilometres of the land-based portions of standard geographic areas. The data are unofficial, and are provided for the sole purpose of calculating population density. Land area data for the standard geographic areas reflect the boundaries in effect on January 1, 2021 (the geographic reference date for the 2021 Census of Canada).</p><p>Population centres are classified into three groups, depending on the size of their population:</p><ul><li>small population centres, with a population between 1,000 and 29,999</li><li>medium population centres, with a population between 30,000 and 99,999</li><li>large urban population centres, with a population of 100,000 or more.</li></ul><p><strong>Note:</strong> The ‘Geographic area type’ column in this table is presenting the population centre size groups and not the population centre type. Population centres can be classified as types such as ‘core’, ‘secondary core’ or ‘fringe’. The type indicates the relationship of the population centre to the census metropolitan area (CMA) or to the census agglomeration (CA) structure. This additional information may be found in other products such as GeoSuite.</p><p>Population is defined using population and population density data from the current census and is delineated using the dissemination block. The previous census counts provided in this table are the aggregation of the previous census population counts for the dissemination blocks that constitute the 2016 population centre.</p><p><strong>Definitions</strong></p><p>The Census Dictionary is a reference document which contains detailed definitions of Census of Population concepts, universes, variables, and geographic terms, as well as historical information.</p>",,,,,,,,
2,Excludes census data for one or more incompletely enumerated reserves or settlements.,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
How to cite: Statistics Canada. Table 98-10-0011-01  Population and dwelling counts: Canada and population centres,,,,,,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810001101,,,,,,,,,
